customer_id,order_id,order_date,order_value,quantity,unit_price,product_category,customer_email,signup_date,support_tickets
CUST-00022,ORD971434,2025-01-11,180.0,4,45.0,Home,cust00022@example.com,2023-09-11,0.0
CUST-02553,ORD927835,2025-06-12,21.72,4,5.43,Beauty,cust02553@example.com,2025-01-30,0.0
CUST-02279,ORD305755,2025-04-01,41.76,2,20.88,Toys,cust02279@example.com,2024-03-15,2.0
CUST-00022,ORD180838,2026-03-04,282.14,1,282.14,Books,cust00022@example.com,2023-09-11,0.0
CUST-00308,ORD280366,2026-02-04,283.0,2,141.5,Apparel,cust00308@example.com,2023-05-17,0.0
CUST-00161,ORD816281,2025-09-09,250.96,4,62.74,Grocery,cust00161@example.com,2024-10-02,0.0
00257,ORD117432,2026-04-01,101.34,1,101.34,Beauty,00257@example.com,2024-05-21,0.0
CUST-00571,ORD937618,2025-08-05,126.45,3,42.15,Toys,cust00571@example.com,2025-05-24,1.0
02579,ORD166421,2025-07-02,35.76,4,8.94,Books,02579@example.com,2024-12-29,0.0
CUST-00768,ORD931213,2026-06-09,24.84,4,6.21,Electronics,cust00768@example.com,2026-06-29,0.0
CUST-01005,ORD218017,2026-06-06,31.5,3,10.5,Books,cust01005@example.com,2026-06-15,0.0
cust_01589,ORD685221,2025-05-04,89.04,4,22.26,Grocery,cust01589@example.com,2025-04-13,0.0
CUST-00142,ORD287792,2025-12-12,245.72,2,122.86,Beauty,cust00142@example.com,2025-05-25,0.0
00243,ORD788515,2025-08-17,95.16,2,47.58,Electronics,00243@example.com,2024-10-26,0.0
CUST-01982,ORD659460,2024-08-06,$0.00,4,5.27,Home,cust01982@example.com,2024-04-24,0.0
C00457,ORD772156,2024-11-23,62.94,2,31.47,Books,c00457@example.com,2024-05-11,2.0
C00519,ORD953854,2025-02-04,113.32,2,56.66,Sports,c00519@example.com,2024-08-29,0.0
CUST-02145,ORD271554,2025-07-14,15.52,4,3.88,Toys,cust02145@example.com,2024-02-24,3.0
CUST-00351,ORD368371,2024-03-20,174.66,1,174.66,Home,cust00351@example.com,2023-04-11,2.0
CUST-00083,ORD624044,2025-06-10,100.16,4,25.04,,cust00083@example.com,2023-05-28,0.0
CUST-00111,ORD453452,2025-07-02,107.28,1,107.28,Books,cust00111@example.com,2024-05-30,0.0
C00297,ORD943514,2026-02-17,180.02,2,90.01,Grocery,c00297@example.com,2023-10-26,0.0
CUST-00149,ORD135194,2025-12-06,81.28,2,40.64,SPORTS,cust00149@example.com,2023-08-13,0.0
CUST-00378,ORD196584,2025-01-12,148.59,1,148.59,Books,cust00378@example.com,2023-03-22,1.0
cust_01666,ORD552462,2025-09-07,46.92,4,11.73,Sports,cust01666@example.com,2025-12-09,0.0
C00251,ORD116827,2025-02-09,212.19,3,70.73,Apparel,c00251@example.com,2023-09-02,1.0
CUST-01659,ORD705629,2025-07-05,74.5,2,37.25,Books,cust01659@example.com,2025-10-13,0.0
CUST-00699,ORD591268,2026-06-08,93.59,1,93.59,Apparel,cust00699@example.com,2026-05-26,0.0
CUST-00266,ORD152350,2025-03-12,143.08,4,35.77,Grocery,CUST00266@EXAMPLE.COM,2023-04-20,0.0
CUST-00273,ORD437873,2025-09-22,148.48,4,37.12,Books,cust00273@example.com,2025-03-01,2.0
C00145,ORD133890,2026-01-18,219.09,1,219.09,Toys,c00145@example.com,2024-01-28,0.0
cust_00078,ORD580580,2026-04-18,157.71,3,52.57,Electronics,cust00078@example.com,2025-02-09,0.0
CUST-00126,ORD111337,2025-06-03,152.92,1,152.92,Home,cust00126@example.com,2024-08-07,0.0
cust_01492,ORD719271,2025-08-18,88.78,2,44.39,GROCERY,cust01492@example.com,2026-04-18,1.0
CUST-00206,ORD483361,2026-02-03,82.13,1,82.13,Sports,cust00206@example.com,2025-01-20,1.0
CUST-00140,ORD652962,2026-06-24,85.0,4,21.25,Grocery,cust00140@example.com,2024-08-26,1.0
CUST-02109,ORD915858,2025-08-03,39.56,2,19.78,Toys,cust02109@example.com,2024-08-01,0.0
CUST-00127,ORD964053,2024-12-10,222.68,2,111.34,Books,cust00127@example.com,2023-12-23,0.0
CUST-00018,ORD599914,2026-07-01,98.66,1,98.66,Electronics,cust00018@example.com,2025-02-18,1.0
CUST-01760,ORD365182,2025-04-28,62.85,1,62.85,Books,cust01760@example.com,2025-08-04,1.0
cust_00122,ORD652233,2025-12-12,119.67,3,39.89,Books,cust00122@example.com,2023-11-30,0.0
cust_00529,ORD836278,2024-12-10,228.21,1,228.21,Home,cust00529@example.com,2024-11-29,2.0
CUST-00535,ORD105106,2025-12-21,206.88,4,51.72,BOOKS,cust00535@example.com,2024-12-08,2.0
cust_00130,ORD211617,2026-05-02,281.54,2,140.77,Beauty,cust00130@example.com,2024-06-25,0.0
CUST-00153,ORD472349,2025-12-29,281.36,1,281.36,Books,cust00153@example.com,2023-11-16,0.0
CUST-00400,ORD936651,2024-09-12,89.08,1,89.08,Beauty,cust00400@example.com,2024-04-08,1.0
CUST-00336,ORD916861,2025-06-24,179.36,2,89.68,Electronics,cust00336@example.com,2025-02-04,1.0
CUST-00343,ORD312467,30/08/2024,94.57,1,94.57,Toys,cust00343@example.com,2024-06-19,0.0
cust_00980,ORD332190,2026-06-30,97.71,3,32.57,Home,cust00980@example.com,2026-06-26,0.0
CUST-00471,ORD631779,2025-05-02,191.88,4,47.97,Toys,cust00471@example.com,2025-05-02,
CUST-00332,ORD115613,2025-03-18,117.94,1,117.94,Books,cust00332@example.com,2023-10-14,1.0
CUST-00350,ORD697762,2025-10-31,222.32,2,111.16,Sports,cust00350@example.com,2024-03-07,1.0
CUST-00690,ORD992122,2026-06-30,110.14,2,55.07,Beauty,cust00690@example.com,2026-06-02,0.0
cust_00508,ORD681406,2025-05-18,171.9,2,85.95,Home,cust00508@example.com,2024-06-12,2.0
CUST-00090,ORD755858,2025-05-20,238.5,2,119.25,Grocery,cust00090@example.com,2024-01-24,1.0
cust_00360,ORD891878,2024-07-19,167.44,4,41.86,TOYS,cust00360@example.com,2024-06-10,1.0
C00806,ORD738784,2026-06-06,115.56,4,28.89,Grocery,c00806@example.com,2026-06-08,1.0
CUST-01847,ORD525693,2026-01-29,79.62,3,26.54,Grocery,cust01847@example.com,2025-08-09,1.0
00873,ORD861340,14/06/2026,68.55,3,22.85,Home,00873@example.com,2026-06-12,0.0
CUST-00263,ORD185775,2026-05-27,269.9,2,134.95,Sports,cust00263@example.com,2024-07-09,0.0
C00864,ORD658738,2026-06-09,23.89,1,23.89,Beauty,c00864@example.com,2026-06-04,0.0
CUST-00009,ORD196067,2025-12-19,263.36,1,263.36,Electronics,cust00009@example.com,2023-08-24,0.0
CUST-00435,ORD819058,2025-05-17,87.54,2,43.77,Toys,cust00435@example.com,2023-12-16,1.0
00139,ORD490884,2025-09-13,207.9,1,207.9,Books,00139@example.com,2024-05-02,1.0
C02540,ORD508603,2025-03-05,49.18,1,49.18,Grocery,c02540@example.com,2025-02-14,1.0
C00314,ORD828069,2025-04-14,81.4,1,81.4,Beauty,c00314@example.com,2023-03-25,2.0
cust_02091,ORD676896,2025-11-10,43.14,2,21.57,Toys,cust02091@example.com,2025-06-06,0.0
CUST-02340,ORD260807,2025-06-27,44.64,3,14.88,Beauty,cust02340@example.com,2025-10-22,0.0
CUST-00011,ORD639633,2026-05-01,188.27,1,188.27,Beauty,cust00011@example.com,2024-06-06,1.0
CUST-00105,ORD687780,2026-06-18,203.71,1,203.71,Sports,cust00105@example.com,2024-08-16,1.0
CUST-00289,ORD783395,2025-01-06,233.53,1,233.53,Sports,cust00289@example.com,2024-06-09,1.0
C00076,ORD454110,2025-10-10,110.07,1,110.07,Beauty,c00076@example.com,2023-12-06,1.0
CUST-00477,ORD838178,2024-04-16,90.24,2,45.12,Sports,cust00477@example.com,2024-02-27,1.0
CUST-00485,ORD283706,2024-07-06,108.56,1,108.56,Home,cust00485@example.com,2023-09-27,1.0
CUST-00209,ORD915154,2025-03-16,161.64,3,53.88,Beauty,cust00209@example.com,2024-05-24,0.0
CUST-00427,ORD952278,2026-01-05,146.92,4,36.73,Beauty,cust00427@example.com,2024-02-19,2.0
CUST-00361,ORD864145,2025-03-07,234.62,1,234.62,Grocery,cust00361@example.com,2025-02-16,0.0
02028,ORD965317,2025-05-27,14.04,4,3.51,Sports,02028@example.com,2024-06-30,0.0
CUST-01672,ORD915847,2025-04-02,78.08,4,19.52,Apparel,cust01672@example.com,2025-04-17,0.0
CUST-01970,ORD781935,2025-06-05,14.55,3,4.85,Grocery,cust01970@example.com,2025-10-31,0.0
C00215,ORD403599,2025-01-06,238.12,2,119.06,Toys,c00215@example.com,2023-11-26,0.0
C00116,ORD263556,2025-08-26,230.6,2,115.3,Home,c00116@example.com,2023-12-07,0.0
C00538,ORD430607,2024-01-31,223.14,3,74.38,Toys,c00538@example.com,2023-05-22,3.0
CUST-02088,ORD806680,2025-11-22,36.36,2,18.18,Beauty,cust02088@example.com,2025-11-22,0.0
CUST-00153,ORD108492,2026-04-16,208.62,3,69.54,Apparel,cust00153@example.com,2023-11-16,0.0
C00258,ORD424528,2025-10-28,274.6,2,137.3,Electronics,c00258@example.com,2025-01-29,0.0
