customer_id,order_id,order_date,order_value,quantity,unit_price,product_category,customer_email,signup_date,support_tickets
CUST-00134,ORD629451,2024-12-10,267.51,3,89.17,Electronics,cust00134@example.com,2023-06-22,0.0
CUST-00413,ORD998411,2024-10-30,262.53,3,87.51,Toys,cust00413@example.com,2023-12-11,1.0
CUST-00100,ORD203504,2026-03-07,182.46,3,60.82,Electronics,cust00100@example.com,2024-05-23,0.0
C00761,ORD787663,01/07/2026,22.24,1,22.24,Electronics,c00761@example.com,2026-06-16,
CUST-00102,ORD303053,2024-12-18,263.0,2,131.5,Home,cust00102@example.com,2024-06-08,0.0
C02357,ORD773901,2026-02-20,40.04,4,10.01,Sports,c02357@example.com,2026-01-11,0.0
cust_00152,ORD526532,2026-06-28,196.74,2,98.37,Sports,cust00152@example.com,2024-04-19,1.0
CUST-00318,ORD458770,2026-05-30,272.68,4,68.17,BOOKS,cust00318@example.com,2024-04-13,1.0
CUST-00770,ORD766227,2026-06-26,24.69,3,8.23,Home,cust00770@example.com,2026-06-30,1.0
00145,ORD181260,2026-01-12,235.53,3,78.51,Sports,00145@example.com,2024-12-11,0.0
02458,ORD531515,2026-01-16,32.6,4,8.15,GROCERY,02458@example.com,2025-05-16,1.0
CUST-00518,ORD485789,2025-01-22,228.2,4,57.05,Beauty,cust00518@example.com,2023-11-08,0.0
C00085,ORD896830,2025-04-26,289.38,3,96.46,Toys,c00085@example.com,2024-04-05,0.0
C00199,ORD713138,2026-04-01,151.96,4,37.99,Beauty,c00199@example.com,2024-05-09,0.0
cust_00968,ORD991346,2026-06-24,39.84,4,9.96,Beauty,cust00968@example.com,2026-06-20,1.0
C02653,ORD242574,2025-09-27,31.22,2,15.61,Toys,c02653@example.com,2026-01-23,0.0
01338,ORD797252,2026-06-21,23.56,4,5.89,Toys,01338@example.com,2026-06-16,1.0
CUST-00181,ORD733581,2025-12-15,170.6,1,170.6,Apparel,cust00181@example.com,2023-08-14,0.0
cust_00065,ORD524762,2024-12-07,150.96,4,37.74,Books,cust00065@example.com,2023-07-16,0.0
CUST-03311,ORD283825,2024-12-21,10.72,1,10.72,Home,cust03311@example.com,2024-03-07,1.0
00193,ORD567228,2025-12-23,235.25,1,235.25,Sports,00193@example.com,2024-12-16,0.0
CUST-00382,ORD855184,2025-07-08,194.54,1,,Electronics,cust00382@example.com,2023-04-25,2.0
CUST-00367,ORD412053,2026-04-02,209.12,2,104.56,Sports,cust00367@example.com,2024-08-13,0.0
CUST-00502,ORD914723,2024-11-07,219.88,1,219.88,,cust00502@example.com,2024-06-15,2.0
CUST-00027,ORD390976,2026-04-13,198.16,4,,Grocery,cust00027@example.com,2023-04-28,0.0
CUST-00563,ORD247899,2024-01-14,231.81,3,77.27,Apparel,cust00563@example.com,2023-12-20,2.0
CUST-00363,ORD112592,2026-05-25,177.44,4,44.36,Beauty,cust00363@example.com,2024-05-29,0.0
CUST-04110,ORD797546,2024-11-23,25.22,1,25.22,Electronics,cust04110@example.com,2025-02-21,0.0
cust_00108,ORD941997,2025-08-08,253.84,2,126.92,Beauty,cust00108@example.com,2024-08-16,0.0
C02928,ORD917963,2025-11-14,18.42,2,9.21,Apparel,c02928@example.com,2025-12-23,0.0
CUST-00504,ORD461811,2025-07-04,199.8,4,49.95,Home,cust00504@example.com,2025-01-07,1.0
cust_03569,ORD579332,2025-03-07,39.14,2,19.57,Apparel,cust03569@example.com,2025-03-29,1.0
CUST-01269,ORD353003,2026-06-15,78.45,3,26.15,Apparel,cust01269@example.com,2026-06-23,1.0
CUST-04196,ORD280589,2025-01-30,36.08,4,9.02,Beauty,cust04196@example.com,2024-10-11,0.0
CUST-03206,ORD220068,2025-08-19,23.12,2,11.56,Sports,cust03206@example.com,2025-08-17,3.0
01671,ORD598053,2026-02-09,36.04,4,9.01,Books,01671@example.com,2025-04-18,0.0
00074,ORD810138,2025-11-02,266.02,2,133.01,Beauty,00074@example.com,2023-11-08,0.0
CUST-00320,ORD517649,2025-06-26,246.1,2,123.05,Apparel,cust00320@example.com,2023-05-06,0.0
CUST-00914,ORD434927,2026-06-25,88.86,1,88.86,Electronics,cust00914@example.com,2026-06-25,0.0
CUST-00103,ORD912703,2026-02-12,292.03,1,292.03,Sports,cust00103@example.com,2023-10-08,0.0
CUST-00557,ORD293078,2024-11-16,175.59,3,58.53,Books,cust00557@example.com,2024-02-22,1.0
CUST-00185,ORD682370,2026-03-20,246.1,2,123.05,Books,cust00185@example.com,2024-12-31,1.0
CUST-02213,ORD329307,2026-02-09,28.46,1,28.46,Toys,cust02213@example.com,2025-01-20,0.0
C00600,ORD678882,2024-07-04,149.5,2,74.75,Beauty,c00600@example.com,2023-11-03,
