Cust_ID,Order_id,invoice_date,Category,Qty,Unit_Price,Email,Signup_Date
10431,560289,04/22/2024,Apparel,2,81.25,customer10494@gmail.com,04/20/2024
10151,599202,06-01-2024,Sports,3,102.76,customer10400@outlook.com,06/13/2023
10210,549535,07-06-2025,Grocery,3,158.76,customer10005@gmail.com,07-10-2023
12803,579381,10-08-2024,Beauty,1,6.16,customer13323@outlook.com,06/20/2024
10071,581383,11-06-2024,Electronics,1,4.68,customer13487@yahoo.com,10/21/2024
10359,592272,01/31/2025,Grocery,5,234.21,customer10180@outlook.com,03/17/2024
11877,501031,06/22/2026,Beauty,5,161.86,customer10110@outlook.com,04/13/2024
10010,551691,12/29/2024,Grocery,1,8.99,customer12921@yahoo.com,12/28/2024
10092,570338,02/26/2026,Grocery,5,221.38,customer10120@yahoo.com,05-09-2024
10131,544647,09-05-2024,Grocery,2,104.03,CUSTOMER10375@YAHOO.COM,04/21/2024
13105,593575,02-04-2026,Sports,1,18.98,customer11464@outlook.com,11/21/2025
10179,571426,12-09-2025,Home,1,18.43,customer12141@outlook.com,09/20/2025
13656,511103,06/18/2026,Grocery,3,50.38,customer10683@yahoo.com,06/26/2026
10053,517485,06/27/2026,Grocery,4,230.51,customer10005@gmail.com,07-10-2023
10505,543675,06/28/2026,Beauty,4,164.85,customer10204@outlook.com,06/14/2023
10197,500917,02-05-2025,Grocery,4,88.85,customer10444@outlook.com,08/22/2024
10375,511045,02/24/2026,Grocery,1,15.09,customer11417@yahoo.com,01-06-2026
10100,566947,05-12-2025,Grocery,5,203.97,customer10123@outlook.com,02/14/2024
10025,530048,12/15/2024,Sports,3,103.23,customer10433@outlook.com,05/27/2023
10119,547399,08/27/2024,Electronics,2,139.21,customer10424@gmail.com,08/24/2024
11173,571577,03-07-2024,Toys,3,129.75,customer10525@gmail.com,07-03-2024
10306,519351,04-08-2025,Electronics,3,167.08,customer10229@yahoo.com,09-11-2024
10279,539262,11/22/2024,Toys,1,7.67,customer13165@yahoo.com,11/18/2024
10500,552058,05/21/2025,Apparel,5,210.66,customer10087@gmail.com,02-08-2024
10004,506806,16-12-2025,Grocery,4,228.66,customer10008@outlook.com,03/30/2024
11399,504162,04/24/2024,Toys,4,130.98,customer10354@gmail.com,04/22/2024
10187,576977,04/21/2025,Grocery,2,116.62,customer10389@outlook.com,04/19/2023
13157,563962,06/23/2026,Electronics,3,201.08,customer10203@yahoo.com,05-05-2023
