Cust_ID,Order_No,Order_Date,Category,Qty,Unit_Price,Email,Signup_Date
10155,502209,09/01/2025,Electronics,5,222.07,customer10155@gmail.com,03/11/2024
10242,502715,06/17/2026,Electronics,2,57.21,customer10242@gmail.com,06/13/2026
10126,501925,12/10/2025,Books,1,100.0,customer10126@hotmail.com,04/14/2024
10189,502533,10/29/2025,Sports,2,65.47,customer10189@gmail.com,06/13/2024
10021,500360,06/27/2026,Beauty,4,53.85,customer10021@outlook.com,02/12/2025
10078,501295,06/22/2026,Home & Kitchen,3,107.54,customer10078@gmail.com,01/26/2025
10187,502509,08/27/2025,Electronics,3,174.06,customer10187@yahoo.com,03/24/2024
10071,501170,06/15/2026,Home & Kitchen,5,197.49,customer10071@gmail.com,01/24/2025
10489,503140,10/23/2025,Books,3,13.13,customer10489@hotmail.com,07/16/2024
10145,502103,10/12/2025,Apparel,2,160.19,customer10145@yahoo.com,02/23/2024
10061,501007,06/03/2026,Electronics,5,108.58,customer10061@outlook.com,01/29/2025
10134,501993,09/18/2025,Home & Kitchen,2,139.84,customer10134@yahoo.com,09/15/2024
10041,500681,06/28/2026,Beauty,2,82.45,customer10041@yahoo.com,12/24/2024
10017,500292,06/27/2026,Apparel,5,61.95,customer10017@yahoo.com,06/09/2025
10067,501101,06/25/2026,Apparel,1,123.57,customer10067@gmail.com,12/18/2024
10048,500790,06/14/2026,Books,5,193.92,customer10048@outlook.com,04/25/2025
10081,501325,06/01/2026,Electronics,4,170.14,customer10081@outlook.com,06/07/2025
10150,502165,01/16/2026,Toys,3,211.12,customer10150@gmail.com,09/27/2024
10069,501133,06/28/2026,Home & Kitchen,5,90.06,customer10069@gmail.com,01/16/2025
10057,500945,06/06/2026,Books,2,78.37,customer10057@gmail.com,04/16/2025
10142,502077,11/08/2025,Toys,2,127.66,customer10142@hotmail.com,03/04/2024
10034,500571,06/06/2026,Beauty,3,189.66,customer10034@outlook.com,11/16/2024
