Cust_ID,Order_No,Order_Date,Category,Qty,Unit_Price,Email,Signup_Date
10045,501194,06/21/2026,Toys,2,134.72,customer10045@gmail.com,07/04/2025
10058,501545,06/27/2026,Sports,5,51.63,customer10058@outlook.com,10/05/2024
10031,500838,06/24/2026,Electronics,4,131.67,customer10031@yahoo.com,05/03/2025
10058,501527,06/23/2026,Toys,2,121.96,customer10058@outlook.com,10/05/2024
10073,501927,06/21/2026,Books,-1,102.56,customer10073@gmail.com,11/10/2024
10015,500377,06/23/2026,Apparel,3,70.6,customer10015@outlook.com,10/14/2024
10036,500968,06/29/2026,Home & Kitchen,-4,145.85,customer10036@yahoo.com,12/08/2024
10067,501784,06/28/2026,Home & Kitchen,1,104.14,customer10067@gmail.com,05/22/2025
10027,500719,06/22/2026,Beauty,2,127.63,customer10027@outlook.com,06/14/2025
10222,503310,06/29/2026,Electronics,1,42.05,customer10222@gmail.com,06/24/2026
10051,501363,06/28/2026,Beauty,1,64.61,customer10051@gmail.com,06/23/2025
10073,501939,06/26/2026,Electronics,1,65.28,customer10073@gmail.com,11/10/2024
10042,501120,06/21/2026,Apparel,1,70.91,customer10042@yahoo.com,12/10/2024
10008,500209,06/28/2026,Beauty,1,147.59,customer10008@gmail.com,05/20/2025
10031,500832,06/23/2026,Sports,5,52.54,customer10031@yahoo.com,05/03/2025
10057,501499,06/24/2026,Toys,4,42.96,customer10057@outlook.com,06/06/2025
10065,501732,06/29/2026,Apparel,4,116.43,customer10065@yahoo.com,06/15/2025
10063,501682,06/29/2026,Apparel,5,136.4,customer10063@yahoo.com,03/04/2025
10021,500565,06/27/2026,Sports,1,105.99,customer10021@outlook.com,12/20/2024
10189,503227,08/21/2025,Home & Kitchen,4,268.83,customer10189@gmail.com,12/22/2023
10094,502525,06/29/2026,Sports,4,136.99,customer10094@yahoo.com,07/05/2025
10051,501353,06/24/2026,Beauty,1,76.39,customer10051@gmail.com,06/23/2025
10024,500629,06/20/2026,Books,1,93.46,customer10024@yahoo.com,09/11/2024
10073,501948,06/29/2026,,1,77.01,customer10073@gmail.com,11/10/2024
10014,500349,06/21/2026,Beauty,5,88.31,customer10014@gmail.com,01/19/2025
10077,502058,06/27/2026,,2,148.79,customer10077@outlook.com,03/10/2025
10100,502673,06/21/2026,Toys,5,136.71,customer10100@yahoo.com,02/12/2025
10097,502598,06/24/2026,Sports,4,80.1,customer10097@outlook.com,03/04/2025
10090,502395,06/22/2026,Books,5,105.21,customer10090@outlook.com,11/24/2024
10168,503108,11/19/2025,Apparel,3,344.32,customer10168@hotmail.com,04/07/2024
10013,500326,06/24/2026,Toys,3,69.8,customer10013@gmail.com,10/21/2024
10091,502417,06/20/2026,Books,2,65.83,customer10091@gmail.com,02/20/2025
10054,501435,06/29/2026,Toys,3,149.54,customer10054@outlook.com,04/10/2025
10034,500918,06/27/2026,Beauty,2,79.65,customer10034@outlook.com,06/28/2025
10093,502488,06/25/2026,Home & Kitchen,5,58.83,customer10093@yahoo.com,01/03/2025
10090,502408,06/25/2026,Home & Kitchen,3,76.16,customer10090@outlook.com,11/24/2024
10010,500257,06/29/2026,Sports,2,134.49,customer10010@outlook.com,03/08/2025
